word;phonetic;translation
be;bi:;v. 是, 表示, 在\n[计] 后端, 总线允许
have;hæv;vt. 有, 怀有, 拿, 进行\naux. 已经
do;du:;v. 做, 进行, 完成
say;sei;vt. 说, 讲, 念, 说明, 指明\nvi. 说, 讲\nn. 意见, 发言权
would;wud;aux. 将, 愿意
can;kæn;vt. 装罐\nn. 罐头, 容器\naux. 能, 可以\n[计] 作废字符
get;get;vt. 得到, 获得, 变成, 使得, 收获, 接通, 抓住, 染上\nvi. 到达, 成为, 变得\nn. (网球等)救球, 生殖, 幼兽\n[计] 取得指令, 获取文件
make;meik;vt. 制造, 安排, 创造, 构成, 使得, 产生, 造成, 整理, 布置, 引起, 到达, 进行\nvi. 开始, 前进, 增大, 被制造, 被处理\nn. 制造, 构造, 性情
go;gou;vi. 去, 走, 达到, 运转, 查阅, 消失, 结束, 放弃, 花费, 流传, 趋于, 打算, 剩下\nvt. 以...打赌, 对付, 忍受, 出产, 为被捕者出(保释金)\nn. 去, 尝试, 进行
see;si:;vt. 看见, 查看, 参观, 游览, 理解, 知道, 同意\nvi. 看, 观看, 注意, 知道, 考虑\nn. 主教的职位
know;nәu;v. 知道, 了解, 认识, 确信
take;teik;vt. 拿, 取, 抓, 带领, 获得, 就座, 接受, 吃, 吸引, 采取, 乘, 需要, 花费\nvi. 吃掉对方棋子, 抓住, 起作用, 依法获得财产\nn. 拿, 取, 收成, 奏效
think;θiŋk;vt. 想, 考虑, 想起, 想像, 打算, 认为\nvi. 思考, 料想\nn. 想法\na. 思想的
come;kʌm;vi. 过来, 来, 到达, 出现, 开始\ninterj. 喂
should;ʃud;aux. 应该, 将要
find;faind;vt. 发现, 感到, 找到, 认为, 得到\nvi. 裁决\nn. 发现\n[计] 查找
tell;tel;vt. 告诉, 说, 吩咐, 断定, 知道\nvi. 讲述, 泄密, 告发, 表明
put;put;vt. 放, 摆, 安置, 移动, 发射, 投掷, 写上, 表达, 使从事, 使受到, 驱使, 赋予\nvi. 出发, 航行, 发芽\nn. 掷, 股票出售权, 笨蛋\na. 固定不动的\n[计] 发送文件
become;bi'kʌm;vi. 变成, 变得\nvt. 适合
seem;si:m;vi. 象是, 似乎
feel;fi:l;vt. 感觉, 觉得, 触摸, 以为\nvi. 有知觉, 摸索, 同情\nn. 感觉, 觉得, 触摸
ask;ɑ:sk;vi. 问, 要求\nvt. 问, 要求, 邀请, 需要
provide;prә'vaid;vt. 提供, 供应, 规定, 预备\nvi. 作准备, 抚养, 规定
follow;'fɒlәu;vt. 跟随, 沿行, 遵循, 追求\nvi. 跟随, 接着\nn. 跟随, 追随
begin;bi'gin;v. 开始\n[计] 开始
bring;briŋ;vt. 带来, 产生, 促使, 提出\nvi. 生产
write;rait;vt. 书写, 著述, 写, 写满, 写信给\nvi. 写, 写字, 写信, 写作, 作曲\n[计] 书写器
hear;hiә;vt. 听到, 倾听, 听说, 审理\nvi. 听见, 听
include;in'klu:d;vt. 包括, 把...算入, 包住\n[计] DOS内部命令:在CONFIG.SYS文件的一个配置块中包含另一配置块的内容
believe;bi'li:v;v. 相信
allow;ә'lau;vt. 允许, 同意给予, 承认\nvi. 容许, 猜想\n[计] 允许命令
happen;'hæpәn;vi. 发生, 发生, 恰巧
appear;ә'piә;vi. 出现, 显得, 来到\n[法] 出庭, 到案, 出现
sit;sit;vi. 坐, 就座, 坐落\nvt. 使就座, 骑\nn. 坐, 衣服合身
consider;kәn'sidŋ;v. 考虑, 思考, 认为
expect;iks'pekt;vt. 预期, 盼望, 期待
